School,State,SAT 25,SAT 75,ACT 25,ACT 75,Average GPA,Acceptance Rate
Baptist Missionary Association Theological Seminary,Texas,,,,,,93%
Southwestern Assemblies of God University,Texas,,,,,,38%
The University of Texas Health Science Center at San Antonio,Texas,,,,,,80%
Brigham Young University Provo,Utah,1150,1360,26,31,3.8,55%
Westminster College,Utah,1000,1220,22,28,3.5,70%
Southern Utah University,Utah,1370,1700,20,26,3.5,57%
University of Utah,Utah,1463,1878,21,27,3.55,83%
Utah State University,Utah,970,1240,20,27,3.46,97%
Middlebury College,Vermont,1920,2230,31,33,,18%
Saint Michael's College,Vermont,1590,1920,23,28,3.46,78%
University of Vermont,Vermont,1620,1940,24,29,,77%
Champlain College,Vermont,1480,1840,22,28,3.04,74%
Norwich University,Vermont,950,1160,21,26,3.04,65%
Green Mountain College,Vermont,,,,,2.7,67%
Vermont Technical College,Vermont,1240,1560,16,21,3.01,84%
Castleton State College,Vermont,1260,1560,17,23,2.9,89%
College of St Joseph,Vermont,1030,1530,16,18,,83%
Johnson State College,Vermont,1260,1590,15,23,,97%
Lyndon State College,Vermont,1210,1560,18,21,,98%
Southern Vermont College,Vermont,1190,1458,16,20,2.8,80%
Bennington College,Vermont,,,,,3.5,63%
Burlington College,Vermont,,,,,,78%
Marlboro College,Vermont,,,,,3.11,79%
Sterling College,Vermont,,,,,,91%
Washington and Lee University,Virginia,1960,2190,30,33,,19%
College of William and Mary,Virginia,1890,2180,28,32,4.12,32%
University of Virginia Main Campus,Virginia,1870,2180,29,33,4.22,30%
University of Richmond,Virginia,1810,2100,28,31,,30%
Virginia Military Institute,Virginia,1540,1850,22,27,3.61,46%
George Mason University,Virginia,1050,1250,24,28,3.66,55%
James Madison University,Virginia,1050,1250,23,27,,61%
Hampden Sydney College,Virginia,1485,1790,22,27,3.4,56%
Virginia Polytechnic Institute and State University,Virginia,1660,1960,,,3.95,70%
Randolph Macon College,Virginia,1460,1760,21,26,3.57,54%
Christopher Newport University,Virginia,1070,1250,23,28,3.7,65%
Hollins University,Virginia,970,1220,21,27,3.5,66%
Eastern Mennonite University,Virginia,1286,1678,18,25,3.5,70%
Mary Baldwin College,Virginia,1240,1600,18,25,3.3,54%
Bridgewater College,Virginia,1360,1680,20,25,3.5,54%
University of Mary Washington,Virginia,1500,1810,22,26,3.51,77%
Roanoke College,Virginia,1470,1770,21,26,3.44,69%
Sweet Briar College,Virginia,938,1210,21,27,3.51,79%
Virginia Commonwealth University,Virginia,1490,1800,21,26,3.58,65%
Hampton University,Virginia,920,1090,18,23,3.3,36%
Emory and Henry College,Virginia,1290,1660,18,25,3.5,72%
Randolph College,Virginia,1450,1790,21,28,3.61,83%
Jefferson College of Health Sciences,Virginia,1260,1560,20,23,3.38,42%
Shenandoah University,Virginia,1320,1670,19,26,3.39,77%
Lynchburg College,Virginia,1330,1650,19,24,3.29,67%
Longwood University,Virginia,920,1090,19,23,3.37,78%
Old Dominion University,Virginia,930,1130,18,23,3.26,74%
Averett University,Virginia,1220,1530,17,22,3.17,58%
Radford University,Virginia,1340,1600,18,22,3.15,76%
Bluefield College,Virginia,800,1010,16,21,3.0,53%
Regent University,Virginia,960,1200,19,25,3.5,82%
Marymount University,Virginia,1390,1690,20,24,3.23,80%
Virginia Wesleyan College,Virginia,908,1143,18,24,3.3,86%
Southern Virginia University,Virginia,1358,1683,17,26,3.39,99%
The University of Virginia's College at Wise,Virginia,1270,1550,17,22,3.34,83%
Norfolk State University,Virginia,1180,1420,16,20,2.92,67%
Ferrum College,Virginia,1150,1450,14,20,2.81,76%
Virginia Intermont College,Virginia,790,1020,18,22,3.16,98%
Virginia State University,Virginia,1090,1335,15,18,2.8,84%
Virginia Union University,Virginia,670,840,13,17,2.61,93%
Bon Secours Memorial College of Nursing,Virginia,,,,,,33%
Averett University Non Traditional Programs,Virginia,,,,,,47%
Whitman College,Washington,1828,2123,28,32,3.74,49%
University of Puget Sound,Washington,1670,2000,25,30,,54%
University of Washington Seattle Campus,Washington,1630,2000,25,30,3.75,58%
Gonzaga University,Washington,1090,1290,25,29,3.73,62%
Seattle University,Washington,1570,1900,24,29,3.58,71%
Western Washington University,Washington,990,1220,22,28,3.42,80%
Pacific Lutheran University,Washington,1450,1810,22,28,3.66,74%
Seattle Pacific University,Washington,1530,1860,23,28,3.55,79%
Trinity Lutheran College,Washington,733,1062,,,,46%
Northwest University,Washington,1430,1740,19,28,3.46,64%
Walla Walla University,Washington,1370,1770,20,27,3.53,74%
Washington State University,Washington,1350,1700,19,25,3.3,76%
The Evergreen State College,Washington,1410,1800,20,27,3.0,98%
Central Washington University,Washington,1300,1620,18,23,3.2,80%
Saint Martin's University,Washington,1410,1750,19,25,3.45,82%
University of Washington Bothell Campus,Washington,1310,1680,19,23,3.25,74%
Eastern Washington University,Washington,1260,1610,18,23,3.24,79%
University of Washington Tacoma Campus,Washington,1250,1600,17,23,3.25,77%
Cornish College of the Arts,Washington,,,,,,62%
Whitworth University,Washington,,,,,3.74,52%
Antioch University Seattle,Washington,,,,,,72%
University of Charleston,West Virginia,830,1050,19,24,3.38,56%
Wheeling Jesuit University,West Virginia,1358,1663,20,24,3.38,66%
Ohio Valley University,West Virginia,1220,1540,19,23,3.06,42%
Alderson Broaddus College,West Virginia,1270,1540,19,24,3.2,41%
Appalachian Bible College,West Virginia,831,1063,20,26,,60%
Bethany College,West Virginia,1140,1530,17,24,2.8,43%
West Virginia University,West Virginia,930,1140,21,26,3.36,85%
West Virginia Wesleyan College,West Virginia,1292,1617,20,25,3.46,78%
West Virginia University Institute of Technology,West Virginia,900,1080,18,24,3.18,46%
Concord University,West Virginia,1260,1570,18,24,3.23,49%
Fairmont State University,West Virginia,830,1040,18,23,3.26,55%
Bluefield State College,West Virginia,1200,1440,17,21,3.36,40%
Marshall University,West Virginia,1310,1630,20,24,3.4,73%
West Liberty University,West Virginia,1210,1540,18,24,3.33,70%
Shepherd University,West Virginia,910,1100,19,24,3.27,87%
Davis & Elkins College,West Virginia,810,1060,17,23,3.17,79%
West Virginia State University,West Virginia,1145,1445,18,22,2.89,69%
Glenville State College,West Virginia,730,940,16,21,,84%
Marquette University,Wisconsin,1590,1910,25,29,,55%
University of Wisconsin Madison,Wisconsin,1740,2070,26,30,3.84,69%
Beloit College,Wisconsin,1090,1370,24,30,3.43,67%
Milwaukee School of Engineering,Wisconsin,1130,1320,25,30,3.69,57%
Wisconsin Lutheran College,Wisconsin,910,1135,21,27,3.4,68%
Carthage College,Wisconsin,1010,1180,21,27,3.31,70%
Cardinal Stritch University,Wisconsin,870,1130,20,24,3.08,42%
Ripon College,Wisconsin,1000,1310,21,28,,78%
University of Wisconsin La Crosse,Wisconsin,,,23,26,,76%
Saint Norbert College,Wisconsin,,,22,27,3.46,80%
Northland College,Wisconsin,970,1240,21,27,3.3,66%
Bellin College,Wisconsin,,,22,24,,76%
University of Wisconsin Eau Claire,Wisconsin,,,22,26,,77%
Concordia University Wisconsin,Wisconsin,1263,1680,20,25,3.34,70%
Carroll University,Wisconsin,,,21,26,3.3,78%
Edgewood College,Wisconsin,,,20,25,3.3,73%
University of Wisconsin Stevens Point,Wisconsin,,,21,25,3.45,76%
Viterbo University,Wisconsin,,,21,26,3.48,69%
Lakeland College,Wisconsin,1250,1410,19,24,3.0,60%
Maranatha Baptist Bible College,Wisconsin,1320,1690,20,26,,76%
Mount Mary College,Wisconsin,1311,1705,17,23,3.21,49%
University of Wisconsin Whitewater,Wisconsin,1410,1720,20,24,3.2,82%
University of Wisconsin Green Bay,Wisconsin,,,21,25,3.37,86%
Silver Lake College of the Holy Family,Wisconsin,1321,1441,17,23,2.98,53%
University of Wisconsin Platteville,Wisconsin,,,20,25,,97%
Marian University,Wisconsin,,,18,22,3.1,77%
University of Wisconsin Oshkosh,Wisconsin,,,20,24,3.3,84%
University of Wisconsin Stout,Wisconsin,,,20,24,3.2,88%
University of Wisconsin River Falls,Wisconsin,,,20,24,3.61,91%
Alverno College,Wisconsin,,,17,23,2.83,65%
University of Wisconsin Superior,Wisconsin,,,19,24,3.25,89%
University of Wisconsin Milwaukee,Wisconsin,,,20,24,3.09,88%
University of Wisconsin Parkside,Wisconsin,,,19,23,2.98,79%
Lawrence University,Wisconsin,,,,,3.7,76%
Milwaukee Institute of Art & Design,Wisconsin,,,,,3.1,70%
Northland International University,Wisconsin,,,,,,98%
University of Wyoming,Wyoming,980,1240,22,27,3.48,96%
